Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,navy-classic-suit,Classic Navy Two-Piece Suit,Premium Collection,Timeless navy blue suit perfect for business and formal occasions. Crafted from premium wool blend with superior construction.,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,,,,,,,,,,,Business,TRUE,,,36S,NAVY-SUIT-36S,,FALSE,TRUE,,,,,,,,,539.99,599.99,Size,36S,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,
,navy-classic-suit,Classic Navy Two-Piece Suit,Premium Collection,Timeless navy blue suit perfect for business and formal occasions. Crafted from premium wool blend with superior construction.,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,,,,,,,,,,,Business,TRUE,,,36R,NAVY-SUIT-36R,,FALSE,TRUE,,,,,,,,,539.99,599.99,Size,36R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,
,navy-classic-suit,Classic Navy Two-Piece Suit,Premium Collection,Timeless navy blue suit perfect for business and formal occasions. Crafted from premium wool blend with superior construction.,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,,,,,,,,,,,Business,TRUE,,,38S,NAVY-SUIT-38S,,FALSE,TRUE,,,,,,,,,539.99,599.99,Size,38S,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,
,navy-classic-suit,Classic Navy Two-Piece Suit,Premium Collection,Timeless navy blue suit perfect for business and formal occasions. Crafted from premium wool blend with superior construction.,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,,,,,,,,,,,Business,TRUE,,,38R,NAVY-SUIT-38R,,FALSE,TRUE,,,,,,,,,539.99,599.99,Size,38R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,
,navy-classic-suit,Classic Navy Two-Piece Suit,Premium Collection,Timeless navy blue suit perfect for business and formal occasions. Crafted from premium wool blend with superior construction.,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,,,,,,,,,,,Business,TRUE,,,38L,NAVY-SUIT-38L,,FALSE,TRUE,,,,,,,,,539.99,599.99,Size,38L,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,
,navy-classic-suit,Classic Navy Two-Piece Suit,Premium Collection,Timeless navy blue suit perfect for business and formal occasions. Crafted from premium wool blend with superior construction.,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,,,,,,,,,,,Business,TRUE,,,40S,NAVY-SUIT-40S,,FALSE,TRUE,,,,,,,,,539.99,599.99,Size,40S,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,
,navy-classic-suit,Classic Navy Two-Piece Suit,Premium Collection,Timeless navy blue suit perfect for business and formal occasions. Crafted from premium wool blend with superior construction.,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,,,,,,,,,,,Business,TRUE,,,40R,NAVY-SUIT-40R,,FALSE,TRUE,,,,,,,,,539.99,599.99,Size,40R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,
,navy-classic-suit,Classic Navy Two-Piece Suit,Premium Collection,Timeless navy blue suit perfect for business and formal occasions. Crafted from premium wool blend with superior construction.,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,,,,,,,,,,,Business,TRUE,,,40L,NAVY-SUIT-40L,,FALSE,TRUE,,,,,,,,,539.99,599.99,Size,40L,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,
,navy-classic-suit,Classic Navy Two-Piece Suit,Premium Collection,Timeless navy blue suit perfect for business and formal occasions. Crafted from premium wool blend with superior construction.,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,,,,,,,,,,,Business,TRUE,,,42R,NAVY-SUIT-42R,,FALSE,TRUE,,,,,,,,,539.99,599.99,Size,42R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,
,navy-classic-suit,Classic Navy Two-Piece Suit,Premium Collection,Timeless navy blue suit perfect for business and formal occasions. Crafted from premium wool blend with superior construction.,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,,,,,,,,,,,Business,TRUE,,,42L,NAVY-SUIT-42L,,FALSE,TRUE,,,,,,,,,539.99,599.99,Size,42L,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/navy-suit.jpg,
